сокращение,﻿abbreviation
"способный, умелый",able
"1) преждевременно разрешаться от бремени; 2) (преждевременно) прекращать,варийно заканчиваться",abort
о (чем-л.),about
"указывает на местонахождение над чем-л. -над, выше",above
current переменный ток,АС_lternating
принимать,accept
" 1. 1) доступ; 2) проход, подход; 3) выборка информации (из памяти); 2. получить доступ",access
случайно,accidentally
соответственно; в соответствии (с),according_to
счет,account
знакомый,acquainted
"1) деятельный, энергичный,ктивный; 2) дей­ствительный, эффективный; 3) действующий",active
1) тех.даптер; 2) соединительное; (пере­ходное) устройство,adapter
"1) прибавлять, присоединять, 2) мат. складывать",add
"добавочный, дополнительный",additional
после,after
"1. как прил. -весь, вся, все; 2. как нареч. - всеце­ло, вполне, совершенно",all
"размещение, распределение, назначение",allocation
"один, в одиночестве",alone
вдоль,along
"позволять, разрешать",allow
alлфавитный,alphabetic
алфавитно-цифровой,alphanumeric
уже,already
"также, тоже",also
=lternative введение других (альтернативных) символов,ALT
переменный,alternating
"альтернатива, выбор",alternativ
"хотя, несмотря на то, что",although
анализ,analysis
1) соединительный союз-и; 2),and
"союз-г, но",противительный
"другой, еще (один)",another
1. ответ; 2. отвечать ,answer
1) в вопр. предл. - какой-нибудь; 2) в отр.редл.-никакой; 3) в утв. предл. - любой ,any
"1) в вопр. предл. - что-нибудь; 2) в отр.предл. - ничего; 3) в утв. предл. - всё, всё что угодно ",anything
"везде, всюду ",anywhere
"внешний вид, наружность ",appearance
"прибавлять, добавлять, прилагать (к книге,документу) ",append
"(мн. ч.ppendices) приложение, добавле­ние ",appendix
"использовать, применять ",apply
"1) довод,ргумент; 2)ргумент, незави­симая переменная ",argument
"указывает на движение или нахождение вокруг -чего-л. - вокруг, кругом","around,"
"1) приводить в порядок; 2) располагать в определенном порядке, систематизировать ",arrange
1) когда; 2) так как; 3) в обстоятельственных оборотах сравнения - как; ,as
sames-такой же как ,the
спрашивать,ask
"назначать, определять, устанавливать ",assign
звездочка ,asterisk
"прикреплять, присоединять ",attach
"1. попытка; 2. пытаться, делать попытку ",attempt
"свойство, характерный признак, характер­ная черта,трибут",attribute
" 1) пригодный,олезный; 2) наличный, имеющийся в распоряжении ",available
"уклоняться, избегать",avoid
"выражает удаление от кого-л., чего-л.","away,"
"задний, отдаленный",back
назад,back
"поддерживать, подкреплять",back
обратная косая черта (\),backslash
дублирование,back-up
"(worse, worst) 1) плохой; 2) неподходящий",bad
"т basic program программа, написанная на языке БЕЙСИК",bas
"1) основа, основание; 2) база",base
"основной, главный, существенный",basic
БЕЙСИК - один из языков программирования,BASIC
"1) пучок, пачка, ряд, партия, серия; 2) группа, серия,, пакет",batch
"батарея,ккумулятор",battery
бод (единица скорости передачи информации),baud
"быть, существовать, являться (ед. ч. was, мн. ч. were; been) (наст. вр. 1 л. ед. ч.m, 3 л. ед. ч. is, 2 л. ед. ч. + 1, 2, 3 л. мн. ч.re)",be
потому что,because
"(became, become) становиться, делаться, превращаться",become
1) перед; 2) до; 3) впереди,before
"(began, begun) начинать, приступать",begin
"принадлежать, быть частью",belong
"1. мерцание; 2. мигать, мерцать ",blink
"1) чурбан, глыба, блок; 2) группа, масса однородных предметов ",block
"1. ботинок; 2. 1) пнуть, наподдать ногой; 2) осу­ществить первоначальную загрузку bootable способный выполнять первоначальную за­грузку ",boot
"оба, обе",both
коробка ,box
ветвь,branch
"(broke, broken) 1) ломать(ся); 2) разбивать; 3)",break
"временно прекращать, делать остановку ","прерывать,"
бюджет,budget
"1) буфер,мортизатор, глушитель; 2) промежу­точная область памяти ",buffer
"1) клоп; 2) насекомое, жук; 3)мер. технический дефект; 4) ошибка, дефект, помеха ",bug
"(built, built) строить; build into встраивать ",build
1) пуговица; 2) кнопка,button
"байт, единица измерения информации",byte
1) столица; 2) заглавная буква,capital
забота; take саrе заботиться ,саrе
нести ,carry
on продолжать ,carry
out выполнять,carry
"категория, разряд, класс ",category
"вызывать, быть причиной",cause
"1) осторожность, осмотрительность; 2)ред­осторожность ",caution
"1) цепь, цепочка; 2) последовательность ",chain
глава,chapter
