несчастный,miserabl
чайник,kattle
труба,pipe
племянница,niece
ревматический,rheumatic
легкое / легкое (орган),lung
рак,canсer
точно,exactly
одевать,put on
бросать / переставать,give up
приглядывать за кем-то,look after
снимать / взлетать,take off
расти,grow up
примерять / пробовать,try up
начальный / первичный,primary
цель,aim
выбор,choice
литературный,literary
сохранять,keep
просьба,request
благословлять,bless
упомянуть / указать,mention
нисколько,not at all
одинаковый,same
чувствуйте себя как дома,make yourself at home
выпускаться откуда-то / заканчивать что-то,graduate from
частичная занятость,part-time
связь / общение,commuinication
путь / способ,way
посылать / отправлять,send
включающий / включая,in clouding
обмен / обменивать,exchenge
пчела,bee
кит,whale
сравнивать,compare
убедить,persuade
чувство / сознание / смысл,sense
общество,society
приблизительно / вокруг,around
уникальный,unique
власть / правительство,goverment
огромный,huge
влияние,influense
средства массовой информации / СМИ,media
зависеть от,depend on
упоминать,mention
разнообразие,variety
представлять / знакомить,introduce
реклама / рекламирование,advertising
галстук,tie
мытье посуды,washing up
виноват / быть виноватым,be guilty
пытаться,try
возражать,protest
выпадать из,fall out
турнир,tournament
медовый месяц,honey moon
потрясающий,terrific
объявление / обращение,announcement
зона отлета,departure lounge
отлет,departure
свадьба,wedding
труба,trumpet
горн / рог,horn
целый,whole
грустно / к сожалению,sadly
кровь,blood
борьба / бороться,fight
сторона / в сторону,aside
направление,direction
противоположный,opposite
уверенно,surely
пот,sweat
вытерать,wipe
громкий,loud
вершина,top
столкновение / авария,crash
вполне,quite
высокий,high
вперед,ahead
вспышка,flash
за,behind
узкий,narrow
приближаться,approach
очередь,queue
задержка,delay
щель,gap
грохот,roar
честный / прямой,straight
открывать,discover / open
кричать,shout / scream
придерживаться / следовать,follow
шина,tyre
полностью,fully
полный,full
преследовать,chase
кресло,armchair
стул,chair
бросать,throw
связать,tie
связанный,tied
скрывать,hide
широкий,wide
страх,fear
рукав,sleeve
худой,thin
красивыйМ,handsome
симпатичный / милый,pretty
сказка,tale
кусок,bit / piece
тяжелый,heavy
нацепить,pin
вежливый,polite
неряшливый / нечистый,untidy
поле,field
овца,sheep
свистеть / свист,whistle
путешествие,journey
трясти,shake
грубый,rude
ударять / удар,hit
шутка,joke / trick
ужасный,terrible / awful
радостный,glad
толпа,crowd
мнение,opinion
определенный,particular
вспыльчивый,temper
неправильный,wrong
племянник,nephew
позволять,let / allow
смотритель,caretaker
стучать,knock / bang
дорогой (обр) / дорогой,dear
смешной,ridiculous
падать / падение,fall
поступать,behave
действительно,indeed
трава,grass
сельская местность,countryside
громко,loudly
тихо,quietly
бегло,fluently
кожаный,leather
лежать / ложь,lie
веревка,rope
держать,hold
обещать / обещание,promise
низкий,low
причина,reason
серьезно,seriously
скоро,soon
